Title,Sponsor,Submission Deadline,Award Amount,Description
Browse Awards,N/A,N/A,N/A,N/A
Financial Aid And Academic Scholarship,Sponsor: Florida Institute of Technology,Unrestricted,"$5,000 - $12,500",Scholarships are awarded to students with very strong secondary school grades and exceptional SAT I or ACT scores. The scholarship awarded varies based on secondary school work and SAT I or ACT score. Scholarships are only awarded to students with no prior community college or university course work.
Siemens Westinghouse Competition,Sponsor: Siemens Foundation,"Biology/Life Sciences, Computer & Information Systems, Mathematics, Medicine and Health Sciences, Sciences and Chemistry","$10,000-$100,000 USD","The Siemens Competition in Math, Science & Technology recognizes remarkable talent early on, fostering individual growth for high school students who are willing to challenge themselves through science research. Through this competition, students have an opportunity to achieve national recognition for science research projects that they complete in high school. It is administered by The College Board and funded by the Siemens Foundation.    Online registration and instructions for entering the competition are now available"
Fight For Sight Summer Student Fellowship,Sponsor: Fight For Sight Inc.,"Medicine and Health Sciences, Veterinary and Animal Sciences and Microbiology","$2,400",We support and inspire eye and vision research by funding promising scientists early in their careers.  Students undertake an independent research project under the guidance of a senior scientist or clinician.
Go Overseas Study & Intern Abroad Scholarship,Sponsor: Go Overseas,Unrestricted,$500,Go Overseas is proud to support international education through scholarships available to students participating in study and intern abroad programs. Scholarships are awarded twice per year. The scholarship is awarded based on the creativity of the photo submission and quality of the short essay response. View the link below for the most-up-to-date information.
Go Overseas Volunteer Abroad Scholarship,Sponsor: Go Overseas,Unrestricted,$500,Go Overseas is proud to support international education through scholarships available to students participating in volunteer abroad programs. Scholarships are awarded twice per year. The scholarship is awarded based on the creativity of the photo submission and quality of the short essay response. View the link below for the most-up-to-date information.
MIT - Zaragoza African Supply Chain Professional Scholarships,Sponsor: MIT - Zaragoza Logistics Center,"Business/Management, Computer & Information Systems, Engineering, Mathematics, Transportation/Logistics...","EUR 6,000 - EUR 24,000","Zaragoza Logistics Center (ZLC) currently provides a number of scholarships each year for students
of the MIT-Zaragoza Master of Engineering in Logistics and Supply Chain Management (ZLOG)
program.
The objective with these scholarships is to assure financial aid for outstanding students and thereby
help ensure that financial circumstances are no bar to the most promising candidates having access to
the world-class education that we offer. Furthermore, in so doing, we also create and promote an
economic diversity in our classrooms.
Coverage
ZLC will award a number of scholarships consisting of reduction in tuition for the MIT-Zaragoza Master
of Engineering in Logistics and Supply Chain Management (ZLOG) program, which currently amounts
to €24,000. The reduction will depend on the applicant’s academic achievements and distinctive
personal accomplishment in addition to an interest in pursuing a career in Logistics and Supply Chain
Management. The available scholarships are:
? Average evaluation grade of 6 - 7.9 Coverage: 25 % (€6,000) reduction in tuition
? Average evaluation grade of 8 - 8.9 Coverage: 50 % (€12,000) reduction in tuition
? Average evaluation grade of 9 - 10 Coverage: 100 % (€24,000) reduction in tuition
The scholarship will not include other costs such as the administrative fee, living or travel expenses to
Zaragoza or to Boston for the international exchange."
Nan Tien Institute Buddhist Studies  Scholarship – International Students,Sponsor: Nan Tien Institute,Philosophy & Religion,Variable,"Purpose:
The scholarship program is designed to attract outstanding students who are interested in making a contribution to their community through a deeper appreciation of Buddhism.

Number available per year:
Up to 5 scholarships per year for international students (tuition waiver = AUD$12,800 per year plus accommodation waiver = AUD$19,760 per year per student).

Benefits:

The Scholarship:
Will be offered for 12 months subject to maintaining satisfactory progress
Will cover tuition (AUD$1,600 per subject for up to 8 subjects)
Will cover accommodation on site (single or double room with en suite and meals),
Students must enroll as full- time students and maintain a good record of participation and a Grade Point Average (GPA) of at least 3.5 (on a 4-point scale).
Students may reapply for a continuation of their scholarship beyond the initial year."
GE/NMF International Medical Scholars Program,"Sponsor: National Medical Fellowships, Inc.",Medicine,"$5,000","Given in partnership with the GE Foundation, the GE/NMF International Medical Scholars program enhances the knowledge, skills, and competencies of health professionals serving a diverse client population nationally and globally. The program provides mentored externship experiences for 4th year U.S. medical students from underrepresented minority groups and impoves patient care in partner countries.

GE/NMF International Medial Scholars complete a two-month elective in Ghana or Kenya (March - May 2014), which focuses on criticial regional health care needs."
Felician College International Transfer Scholarship,Sponsor: Felician College,Unrestricted,"$4,500 - $15,000",Students who have more than 12 credits of earned university credit (foreign or domestic) will be considered for a transfer scholarship.  These scholarships are based on a holistic review of your credentials.   Students must have at least a 2.5 GPA in their university work to be considered for this scholarship.
